Advanced special needs,learning difficulties
Perform administrative duties,perform clerical duties
Perform administrative duties,register visitors
Perform nail care,apply nail polish
Perform nail care,cosmetic manicure
Perform nail care,cosmetic pedicure
Perform nail care,decorate nails
Perform nail care,shape nails
Perform nail care,treat nails
Perform skin care,cosmetic skin treatment
Perform skin care,determine skin type
Perform skin care,foot problems
Perform skin care,perform facial treatment
Perform skin care,skin types
Perform skin care,take care of personal appearance
Personal care,assist social service users with physical disabilities
Personal care,monitor patient's health condition
Personal care,provide in-home support for disabled individuals
Personal care,support social service users to live at home
Prepare beverages,alcoholic beverage products
Prepare beverages,assemble cocktail garnishes
Prepare beverages,extract juices
Prepare beverages,handle bar equipment
Prepare beverages,prepare alcoholic beverages
Prepare beverages,prepare fruit ingredients for use in beverages
Prepare beverages,prepare hot drinks
Prepare beverages,prepare mixed beverages
Prepare beverages,prepare specialised coffee
Prepare desserts,cook pastry products
Prepare desserts,prepare bakery products
Prepare desserts,prepare desserts
Prepare financial documents and records,carry out end of day accounts
Prepare financial documents and records,handle financial transactions
Prepare financial documents and records,issue sales invoices
Prepare financial documents and records,manage cash flow
Prepare finger food,prepare pizza
Prepare finger food,prepare sandwiches
Prepare meat fish eggs and dairy products,slice fish
Present information to the public and clients,announce amusement park attractions
Present information to the public and clients,distribute local information materials
Present information to the public and clients,distribute programmes at the venue
Present information to the public and clients,explain features in accommodation venue
Present information to the public and clients,inform customers of activity changes
Present information to the public and clients,provide amusement park information
Present information to the public and clients,provide information to passengers
Present information to the public and clients,provide tourism related information
Present information to the public and clients,provide visitor information
Process payments,collect visitor fees
Process payments,operate cash register
Process payments,process payments
Process payments,take payments for bills
Provide assistance to people,advise customers on accessories to complement clothing
Provide assistance to people,advise customers on usage of cosmetics
Provide assistance to people,advise on clothing style
Provide assistance to people,apply fashion trends to footwear and leather goods
Provide assistance to people,assist amusement park visitors
Provide assistance to people,assist customers
Provide assistance to people,assist passengers
Provide assistance to people,assist visitors
Provide assistance to people,handle customer complaints
Provide assistance to people,provide footwear advice to patients
Provide cleaning activities,clean amusement park facilities
Provide cleaning activities,clean building floors
Provide cleaning activities,clean camping facilities
Provide cleaning activities,clean rooms
Provide cleaning activities,clean surfaces
Provide cleaning activities,handover the service area
Provide cleaning activities,iron textiles
Provide cleaning activities,maintain cleanliness in the cloak room
Provide cleaning activities,maintain personal hygiene standards
Provide cleaning activities,make the beds
Provide cleaning activities,oversee guest laundry service
Provide cleaning activities,wash the dishes
Provide cleaning activities,wash the laundry
Provide information clearly,communicate verbal instructions
Provide information clearly,deliver correspondence
Provide information clearly,educate customers on coffee varieties
Provide information clearly,educate customers on tea varieties
Provide information clearly,instruct kitchen personnel
Provide information clearly,present drinks menu
Provide information clearly,provide directions to guests
Provide information clearly,quote prices
Provide information clearly,sightseeing information
Provide information clearly,use different communication channels
Remove body hair,treat facial hair
Remove body hair,use hair removal techniques
Serve guests,display spirits
Serve guests,provide food and beverages
Serve guests,serve beers
Serve guests,serve beverages
Serve guests,serve food in table service
Serve guests,serve wines
Serve guests,take food and beverage orders from customers
Socialising with people,accompany people
Socialising with people,be friendly to passengers
Socialising with people,demonstrate intercultural competences in hospitality services
Socialising with people,establish customer rapport
Socialising with people,greet guests
Socialising with people,listen actively
Socialising with people,maintain relationship with customers
Socialising with people,relate empathetically
Socialising with people,welcome tour groups
Speak a foreign language,apply foreign languages in tourism
Speak a foreign language,speak different languages
Spending time with children,attend to children's basic physical needs
Spending time with children,babysitting
Spending time with children,common children's diseases
Spending time with children,perform playground surveillance
Spending time with children,play with children
Spending time with children,supervise children
Stock food and drinks,food storage
Stock food and drinks,organise wine cellar
Stock food and drinks,receive kitchen supplies
Stock food and drinks,stock the bar
Stock food and drinks,store kitchen supplies
Stock food and drinks,store raw food materials
Tend to elderly people,evaluate older adults' ability to take care of themselves
Tend to elderly people,older adults' needs
Tend to elderly people,tend to elderly people
Tending to guest needs,advise guests on menus for special events
Tending to guest needs,assist VIP guests
Tending to guest needs,customer service
Tending to guest needs,monitor guest access
Tending to guest needs,run errands on behalf of customers
Tending to guest needs,trends in fashion
Use basic digital tools,have computer literacy
Use basic digital tools,operate electronic payment terminals
Use basic digital tools,read maps
Use basic digital tools,use microsoft office
Use cleaning equipment,dispose waste
Use cleaning equipment,handle chemical cleaning agents
Use cleaning equipment,handover the food preparation area
Use cleaning equipment,maintain cleaning equipment
Use cleaning equipment,operate dishwashing machine
Use cleaning equipment,sterilise working environment
Wash and style hair,curl hair
Wash and style hair,perform quick hair changeovers
Wash and style hair,style hair
Wash and style hair,wash hair
Welcome guests,present menus
Welcome guests,welcome restaurant guests
Work with children (psychology),children's physical development
Work with children (psychology),communicate with youth
Work with children (psychology),encourage students to acknowledge their achievements
Work with children (psychology),facilitate motor skill activities
Work with children (psychology),manage children's problems
Work with children (psychology),manage student relationships
Work with children (psychology),support children's wellbeing
Work with children (psychology),support the positiveness of youths
Work with recipes,create new recipes
Work with recipes,think creatively about food and beverages
Work with recipes,work according to recipe
Work with special needs,assist clients with special needs
Work with special needs,assist disabled passengers
Work with special needs,disability care
Work with special needs,keep company
Work with special needs,special needs education
Work with special needs,support individuals to adjust to physical disability
Work with special needs,disability types
Working in a team,cooperate with colleagues
Working in a team,work in a hospitality team
